Date,Price,Open,High,Low,Vol.,Change %
4/16/2018,21.2,20.6,20.6,20.6,0.48K,0.00%
4/17/2018,21.2,21.2,21.2,21.2,,0.00%
4/18/2018,21.2,21,21,21,0.03K,0.00%
4/19/2018,20.24,20.24,20.24,20.22,0.89K,-4.53%
4/20/2018,20.24,20.24,20.24,20.24,,0.00%
4/23/2018,20.24,20.28,20.28,20.22,0.91K,0.00%
4/24/2018,21.2,20.38,21.2,20.26,8.22K,4.74%
4/25/2018,21.2,21.2,21.2,21.2,,0.00%
4/26/2018,21.2,21.2,21.2,21.2,0.01K,0.00%
4/27/2018,20.5,21.18,21.18,20.5,3.23K,-3.30%
5/1/2018,20.5,21.2,21.2,21.2,0.25K,0.00%
5/2/2018,20.5,21.3,21.3,21.3,0.05K,0.00%
5/3/2018,20.5,20.5,20.5,20.5,0.97K,0.00%
5/4/2018,20.54,20.54,21.28,20.52,10.05K,0.20%
5/8/2018,20.54,20.54,20.54,20.54,,0.00%
5/9/2018,20.54,20.54,20.54,20.54,,0.00%
5/10/2018,20.54,20.52,20.6,20.5,0.18K,0.00%
5/11/2018,20.54,20.54,20.54,20.54,,0.00%
5/14/2018,20.54,20.54,20.54,20.54,,0.00%
5/15/2018,20.4,20,20.4,20,7.32K,-0.68%
5/16/2018,20.4,20.4,20.4,20.4,,0.00%
5/17/2018,20.24,20.26,20.26,20.22,7.43K,-0.78%
5/18/2018,20.24,20.22,20.22,20.22,0.05K,0.00%
5/21/2018,20,20,20,20,10.40K,-1.19%
5/22/2018,20,20,20,20,0.10K,0.00%
5/23/2018,20,20,20,20,0.21K,0.00%
5/24/2018,20,20.98,20.98,20.98,0.01K,0.00%
5/25/2018,19.48,20,20,19.44,6.19K,-2.60%
5/28/2018,19.6,19.6,19.6,19.6,10.05K,0.62%
5/30/2018,19.42,19.44,19.6,19.4,16.13K,-0.92%
5/31/2018,19.02,19.3,19.3,19,1.44K,-2.06%
6/1/2018,19.02,19.02,19.02,19.02,,0.00%
6/4/2018,19.02,19.02,19.02,19.02,,0.00%
6/5/2018,19.02,19.02,19.02,19.02,,0.00%
6/6/2018,19.02,19.02,19.02,19.02,,0.00%
6/7/2018,19.02,19.6,19.6,19.6,0.01K,0.00%
6/8/2018,19.02,19.2,19.2,19,0.48K,0.00%
6/11/2018,19.02,19.6,19.6,19.6,0.02K,0.00%
6/12/2018,19.02,19.6,19.6,19.6,0.05K,0.00%
6/13/2018,19.02,19.02,19.02,19.02,,0.00%
6/14/2018,19.02,19.4,19.4,19.4,0.01K,0.00%
6/18/2018,19.02,19.4,19.4,19.4,0.03K,0.00%
6/19/2018,18.94,19.2,19.2,18.02,1.80K,-0.42%
6/20/2018,18.94,18.06,18.06,18.06,0.10K,0.00%
6/21/2018,18.94,19,19,19,0.03K,0.00%
6/22/2018,18.94,19,19,18.22,0.11K,0.00%
6/25/2018,18.94,19,19,18.2,0.03K,0.00%
6/26/2018,18.94,18.94,18.94,18.94,,0.00%
6/28/2018,18.02,18.2,18.98,18,2.51K,-4.86%
6/29/2018,18.5,18.5,18.6,18.5,0.50K,2.66%
7/2/2018,18.5,18.5,18.5,18.5,,0.00%
7/3/2018,18.5,18.04,18.04,18.04,0.13K,0.00%
7/4/2018,18.5,18.02,18.02,18.02,0.05K,0.00%
7/5/2018,18.5,18.5,18.5,18.5,,0.00%
7/6/2018,18.1,18.02,18.34,18.02,2.55K,-2.16%
7/9/2018,18.1,18.4,18.4,18.4,0.05K,0.00%
7/10/2018,18.1,18.1,18.1,18.1,,0.00%
7/11/2018,18.04,18.4,18.4,18.04,0.90K,-0.33%
7/12/2018,18.04,18.04,18.04,18.04,,0.00%
7/13/2018,18.5,18.5,18.5,18.5,7.55K,2.55%
7/16/2018,18.12,18.5,18.5,18.1,2.53K,-2.05%
7/17/2018,18.12,18.12,18.12,18.12,,0.00%
7/18/2018,18.12,18.12,18.12,18.12,,0.00%
7/19/2018,18.12,18.12,18.12,18.12,,0.00%
7/20/2018,18.58,18.12,18.6,18.12,7.06K,2.54%
7/23/2018,18.58,18.58,18.58,18.58,,0.00%
7/24/2018,18.58,18.58,18.58,18.58,,0.00%
7/25/2018,18.6,18.6,18.6,18.6,2.50K,0.11%
7/26/2018,18.6,18.6,18.6,18.6,,0.00%
7/30/2018,18.6,18.6,18.6,18.6,,0.00%
7/31/2018,18.22,18.22,19.4,18.2,6.55K,-2.04%
8/1/2018,18.22,18.22,18.22,18.22,,0.00%
8/2/2018,18.4,18.42,18.42,18.4,2.54K,0.99%
8/3/2018,18.4,18.4,18.4,18.4,0.15K,0.00%
8/6/2018,18.4,18.4,18.4,18.4,,0.00%
8/7/2018,18.4,19,19,19,0.03K,0.00%
8/8/2018,18.4,18.4,18.4,18.4,,0.00%
8/9/2018,18.4,19,19,19,0.05K,0.00%
8/10/2018,18.4,18.4,18.4,18.4,,0.00%
8/13/2018,18.32,18.6,18.6,18,1.04K,-0.43%
8/14/2018,18.32,18.32,18.32,18.32,,0.00%
8/15/2018,18.32,18.32,18.32,18.32,,0.00%
8/16/2018,18.32,18.06,18.06,18.04,0.05K,0.00%
8/17/2018,18,18.04,18.04,18,502.83K,-1.75%
8/20/2018,17.82,18.9,19.4,17.82,58.46K,-1.00%
8/21/2018,17.82,17.82,17.82,17.82,,0.00%
8/23/2018,17.82,17.82,17.82,17.82,,0.00%
8/24/2018,17.82,17.82,17.82,17.82,,0.00%
8/27/2018,17.82,17.82,17.82,17.82,,0.00%
8/28/2018,17.82,17.82,17.82,17.82,,0.00%
8/29/2018,17.82,19.34,19.34,19.2,0.21K,0.00%
8/30/2018,17.82,17.82,17.82,17.82,,0.00%
8/31/2018,17.82,17.82,17.82,17.82,,0.00%
9/3/2018,17.82,17.82,17.82,17.82,,0.00%
9/4/2018,17.82,17.82,17.82,17.82,,0.00%
9/5/2018,17.82,17.82,17.82,17.82,,0.00%
9/6/2018,17.82,17.82,17.82,17.82,0.18K,0.00%
9/7/2018,17.82,17.82,17.82,17.82,,0.00%
9/10/2018,17.82,17.82,17.82,17.82,,0.00%
9/11/2018,17.82,17.82,17.82,17.82,,0.00%
9/12/2018,17.82,17.82,17.82,17.82,,0.00%
9/13/2018,18.94,18.94,18.94,18.94,0.50K,6.29%
9/14/2018,18.94,18.94,18.94,18.94,,0.00%
9/17/2018,18.94,18.94,18.94,18.94,,0.00%
9/18/2018,18.94,19,19,19,0.01K,0.00%
9/19/2018,18,18.2,18.2,18,20.00K,-4.96%
9/20/2018,16.24,16.24,17.78,16,3.22K,-9.78%
9/21/2018,16.28,16.28,16.28,16.28,0.51K,0.25%
9/25/2018,16.28,16.28,16.28,16.28,,0.00%
9/26/2018,16.28,16.06,16.06,16.06,0.05K,0.00%
9/27/2018,16.28,16.28,16.28,16.28,,0.00%
9/28/2018,16.02,16.24,16.24,16,1.50K,-1.60%
10/1/2018,16,16,16,16,0.50K,-0.12%
10/2/2018,16,16.04,16.04,16.04,0.25K,0.00%
10/3/2018,16,16.04,16.04,16.04,0.05K,0.00%
10/4/2018,16,17.5,17.5,17.48,0.06K,0.00%
10/5/2018,16,16,16,16,,0.00%
10/8/2018,16,17.46,17.46,17.46,0.01K,0.00%
10/9/2018,16,16,16,16,,0.00%
10/10/2018,17.36,17.36,17.36,17.36,0.50K,8.50%
10/11/2018,17.36,17.36,17.36,17.36,,0.00%
10/12/2018,17.36,17.36,17.36,17.36,,0.00%
10/15/2018,17.36,16.02,17.34,16.02,0.38K,0.00%
10/16/2018,17.36,17.36,17.36,17.36,,0.00%
10/17/2018,15.08,15.02,15.58,15,5.83K,-13.13%
10/18/2018,15.56,15.58,15.58,15.5,9.06K,3.18%
10/19/2018,15.56,15.58,15.58,15.58,0.01K,0.00%
10/22/2018,15.02,15.24,15.4,15,24.26K,-3.47%
10/23/2018,15.02,15.02,15.02,15.02,,0.00%
10/25/2018,15.02,15.02,15.02,15.02,,0.00%
10/26/2018,15.2,15.02,15.2,14.9,37.77K,1.20%
10/29/2018,16.08,15.4,16.2,15.4,1.85K,5.79%
10/30/2018,16,16.3,16.3,16,6.52K,-0.50%
10/31/2018,15.4,15.4,15.4,15.4,0.50K,-3.75%
11/1/2018,16.3,15.98,16.3,15.98,15.88K,5.84%
11/2/2018,16.5,16.5,16.5,16.2,3.28K,1.23%
11/5/2018,16.5,16.5,16.5,16.5,,0.00%
11/7/2018,16.5,16.5,16.5,16.5,,0.00%
11/8/2018,16.5,16.5,17,16.5,0.05K,0.00%
11/9/2018,16.5,16.5,16.5,16.5,,0.00%
11/12/2018,15.84,15.8,16,15.8,1.61K,-4.00%
11/13/2018,15.6,15.62,15.62,15.6,1.44K,-1.52%
11/14/2018,15.6,15.6,15.6,15.6,3.57K,0.00%
11/15/2018,15.6,16.78,16.78,16.76,0.29K,0.00%
11/16/2018,15.6,15.8,15.8,15.8,0.22K,0.00%
11/19/2018,15.82,15.82,15.84,15.82,4.84K,1.41%
11/21/2018,15.82,16,16,15.8,2.08K,0.00%
11/23/2018,15.82,15.8,15.8,15.8,0.05K,0.00%
11/26/2018,15.82,15.6,15.6,15.6,0.45K,0.00%
11/27/2018,15.82,15.6,15.6,15.6,0.25K,0.00%
11/28/2018,15.82,15.82,15.82,15.82,,0.00%
11/29/2018,15.6,15.6,15.6,15.6,3.13K,-1.39%
11/30/2018,15.6,15.6,15.6,15.6,,0.00%
12/3/2018,15.6,15.6,15.6,15.6,,0.00%
12/4/2018,15.6,15.6,15.6,15.6,0.03K,0.00%
12/5/2018,15.6,15.6,15.6,15.6,0.55K,0.00%
12/6/2018,15.6,15.6,15.6,15.6,0.50K,0.00%
12/7/2018,15.6,15.6,15.6,15.6,0.05K,0.00%
12/10/2018,15,15,15,15,2.06K,-3.85%
